Species	Class	Clade	Order	Family	Lepidoptera_group
Abrostola tripartita	Insecta	Lepidoptera	Lepidoptera	Noctuidae	Moth
Amphipyra tragopoginis	Insecta	Lepidoptera	Lepidoptera	Noctuidae	Moth
Anthocharis cardamines	Insecta	Lepidoptera	Lepidoptera	Pieridae	Butterfly
Apotomis turbidana	Insecta	Lepidoptera	Lepidoptera	Tortricidae	Moth
Aricia agestis	Insecta	Lepidoptera	Lepidoptera	Lycaenidae	Butterfly
Atethmia centrago	Insecta	Lepidoptera	Lepidoptera	Noctuidae	Moth
Autographa gamma	Insecta	Lepidoptera	Lepidoptera	Noctuidae	Moth
Autographa pulchrina	Insecta	Lepidoptera	Lepidoptera	Noctuidae	Moth
Biston betularia	Insecta	Lepidoptera	Lepidoptera	Geometridae	Moth
Blastobasis adustella	Insecta	Lepidoptera	Lepidoptera	Blastobasidae	Moth
Blastobasis lacticolella	Insecta	Lepidoptera	Lepidoptera	Blastobasidae	Moth
Boloria selene	Insecta	Lepidoptera	Lepidoptera	Nymphalidae	Butterfly
Bombyx mori	Insecta	Lepidoptera	Lepidoptera	Bombycidae	Moth
Carposina sasakii	Insecta	Lepidoptera	Lepidoptera	Carposinidae	Moth
Celastrina argiolus	Insecta	Lepidoptera	Lepidoptera	Lycaenidae	Butterfly
Clostera curtula	Insecta	Lepidoptera	Lepidoptera	Notodontidae	Moth
Cnaphalocrocis medinalis	Insecta	Lepidoptera	Lepidoptera	Crambidae	Moth
Colias croceus	Insecta	Lepidoptera	Lepidoptera	Pieridae	Butterfly
Cosmia trapezina	Insecta	Lepidoptera	Lepidoptera	Noctuidae	Moth
Craniophora ligustri	Insecta	Lepidoptera	Lepidoptera	Noctuidae	Moth
Crocallis elinguaria	Insecta	Lepidoptera	Lepidoptera	Geometridae	Moth
Cyaniris semiargus	Insecta	Lepidoptera	Lepidoptera	Lycaenidae	Butterfly
Danaus plexippus	Insecta	Lepidoptera	Lepidoptera	Nymphalidae	Butterfly
Deilephila porcellus	Insecta	Lepidoptera	Lepidoptera	Sphingidae	Moth
Dendrolimus punctatus	Insecta	Lepidoptera	Lepidoptera	Lasiocampidae	Moth
Ectropis grisescens	Insecta	Lepidoptera	Lepidoptera	Geometridae	Moth
Endotricha flammealis	Insecta	Lepidoptera	Lepidoptera	Pyralidae	Moth
Ennomos fuscantarius	Insecta	Lepidoptera	Lepidoptera	Geometridae	Moth
Ephestia elutella	Insecta	Lepidoptera	Lepidoptera	Pyralidae	Moth
Erannis defoliaria	Insecta	Lepidoptera	Lepidoptera	Geometridae	Moth
Erynnis tages	Insecta	Lepidoptera	Lepidoptera	Hesperiidae	Butterfly
Euproctis similis	Insecta	Lepidoptera	Lepidoptera	Erebidae	Moth
Fabriciana adippe	Insecta	Lepidoptera	Lepidoptera	Nymphalidae	Butterfly
Glaucopsyche alexis	Insecta	Lepidoptera	Lepidoptera	Lycaenidae	Butterfly
Habrosyne pyritoides	Insecta	Lepidoptera	Lepidoptera	Drepanidae	Moth
Hecatera dysodea	Insecta	Lepidoptera	Lepidoptera	Noctuidae	Moth
Hedya salicella	Insecta	Lepidoptera	Lepidoptera	Tortricidae	Moth
Hemaris fuciformis	Insecta	Lepidoptera	Lepidoptera	Sphingidae	Moth
Hesperia comma	Insecta	Lepidoptera	Lepidoptera	Hesperiidae	Butterfly
