Abrostola tripartita
Amphipyra tragopoginis
Anthocharis cardamines
Apotomis turbidana
Aricia agestis
Atethmia centrago
Autographa gamma
Autographa pulchrina
Biston betularia
Blastobasis adustella
Blastobasis lacticolella
Boloria selene
Bombyx mori
Carposina sasakii
Celastrina argiolus
Clostera curtula
Cnaphalocrocis medinalis
Colias croceus
Cosmia trapezina
Craniophora ligustri
Crocallis elinguaria
Cyaniris semiargus
Danaus plexippus
Deilephila porcellus
Dendrolimus punctatus
Ectropis grisescens
Endotricha flammealis
Ennomos fuscantarius
Ephestia elutella
Erannis defoliaria
Erynnis tages
Euproctis similis
Fabriciana adippe
Glaucopsyche alexis
Habrosyne pyritoides
Hecatera dysodea
Hedya salicella
Hemaris fuciformis
Hesperia comma
Hydropsyche_tenuis
Hylaea fasciaria
Hypena proboscidalis
Idaea aversata
Inachis io
Laothoe populi
Laspeyria flexula
Leptidea sinapis
Limenitis camilla
Lycaena phlaeas
Lymantria monacha
Lysandra bellargus
Lysandra coridon
Mamestra brassicae
Manduca sexta
Maniola hyperantus
Maniola jurtina
Melitaea cinxia
Mellicta athalia
Mimas tiliae
Mythimna impura
Noctua fimbriata
Noctua pronuba
Notocelia uddmanniana
Notodonta dromedarius
Nymphalis polychloros
Nymphalis urticae
Ochlodes sylvanus
Ochropleura plecta
Pararge aegeria
Phalera bucephala
Pheosia gnoma
Pheosia tremula
Phlogophora meticulosa
Pieris brassicae
Pieris napi
Plebejus argus
Schrankia costaestrigalis
Spilosoma lubricipeda
Spodoptera exigua
Spodoptera frugiperda
Spodoptera litura
Thyatira batis
Tinea trinotella
Vanessa atalanta
Vanessa cardui
Xestia xanthographa
Zerene cesonia
Zeuzera pyrina
Zygaena filipendulae
