GCA_905340225.1	Abrostola_tripartita
GCA_905220435.1	Amphipyra_tragopoginis
GCA_905404175.1	Anthocharis_cardamines
GCA_905147355.1	Apotomis_turbidana
GCA_905147365.1	Aricia_agestis
GCA_905333075.2	Atethmia_centrago
GCA_905146925.1	Autographa_gamma
GCA_905475315.1	Autographa_pulchrina
GCA_905404145.1	Biston_betularia
GCA_907269095.1	Blastobasis_adustella
GCA_905147135.1	Blastobasis_lacticolella
GCA_905231865.2	Boloria_selene
GCA_014905235.2	Bombyx_mori
GCA_014607495.1	Carposina_sasakii
GCA_905187575.1	Celastrina_argiolus
GCA_905475355.1	Clostera_curtula
GCA_014851415.1	Cnaphalocrocis_medinalis
GCA_905220415.1	Colias_croceus
GCA_905163495.1	Cosmia_trapezina
GCA_905163465.1	Craniophora_ligustri
GCA_907269065.1	Crocallis_elinguaria
GCA_905187585.1	Cyaniris_semiargus
GCA_018135715.1	Danaus_plexippus
GCA_905220455.1	Deilephila_porcellus
GCA_012273795.1	Dendrolimus_punctatus
GCA_017562165.1	Ectropis_grisescens
GCA_905163395.1	Endotricha_flammealis
GCA_905220475.1	Ennomos_fuscantarius
GCA_018467065.1	Ephestia_elutella
GCA_905404285.1	Erannis_defoliaria
GCA_905147235.1	Erynnis_tages
GCA_905147225.1	Euproctis_similis
GCA_905404265.1	Fabriciana_adippe
GCA_905404095.1	Glaucopsyche_alexis
GCA_907165245.1	Habrosyne_pyritoides
GCA_905332915.1	Hecatera_dysodea
GCA_905404275.1	Hedya_salicella
GCA_907164795.1	Hemaris_fuciformis
GCA_905404135.1	Hesperia_comma
GCA_905147375.1	Hylaea_fasciaria
GCA_905147285.1	Hypena_proboscidalis
GCA_907269075.1	Idaea_aversata
GCA_905147045.1	Inachis_io
GCA_905220505.1	Laothoe_populi
GCA_905147015.1	Laspeyria_flexula
GCA_905404315.1	Leptidea_sinapis
GCA_905147385.1	Limenitis_camilla
GCA_905333005.1	Lycaena_phlaeas
GCA_905163515.1	Lymantria_monacha
GCA_905333045.1	Lysandra_bellargus
GCA_905220515.1	Lysandra_coridon
GCA_905163435.1	Mamestra_brassicae
GCA_014839805.1	Manduca_sexta
GCA_902806685.2	Maniola_hyperantus
GCA_905333055.1	Maniola_jurtina
GCA_905220565.1	Melitaea_cinxia
GCA_905220545.1	Mellicta_athalia
GCA_905332985.1	Mimas_tiliae
GCA_905147345.1	Mythimna_impura
GCA_905163415.1	Noctua_fimbriata
GCA_905220335.1	Noctua_pronuba
GCA_905163555.1	Notocelia_uddmanniana
GCA_905147325.1	Notodonta_dromedarius
GCA_905220585.1	Nymphalis_polychloros
GCA_905147175.1	Nymphalis_urticae
GCA_905404295.1	Ochlodes_sylvanus
GCA_905475445.1	Ochropleura_plecta
GCA_905163445.1	Pararge_aegeria
GCA_905147815.1	Phalera_bucephala
GCA_905404115.1	Pheosia_gnoma
GCA_905333125.1	Pheosia_tremula
GCA_905147745.1	Phlogophora_meticulosa
GCA_905147105.1	Pieris_brassicae
GCA_905475465.1	Pieris_napi
GCA_905404155.1	Plebejus_argus
GCA_905475405.1	Schrankia_costaestrigalis
GCA_905220595.1	Spilosoma_lubricipeda
GCA_011316535.1	Spodoptera_exigua
GCA_012979215.2	Spodoptera_frugiperda
GCA_002706865.2	Spodoptera_litura
GCA_905147785.1	Thyatira_batis
GCA_905220615.1	Tinea_trinotella
GCA_905147765.1	Vanessa_atalanta
GCA_905220365.1	Vanessa_cardui
GCA_905147715.1	Xestia_xanthographa
GCA_012273895.2	Zerene_cesonia
GCA_907165235.1	Zeuzera_pyrina
GCA_907165275.1	Zygaena_filipendulae
