Assembly_version	Assembly_name	Class	Order	Family	Species	Size	Contigs_n50	Scaffold_n50	Assembly_level
fAcaLat.GCA_904848185.1	fAcaLat1.1	Actinopteri	Spariformes	Sparidae	Acanthopagrus latus	685144197	14,880,455	30717905	Chromosome
fAloAlo.GCA_017589495.1	AALO_Geno_1.0	Actinopterygii	Clupeiformes	Clupeidae	Alosa alosa	854597291	1188980	35353468	Chromosome
fAloSap.GCA_018492685.1	fAloSap1.pri	Actinopteri	Clupeiformes	Clupeidae	Alosa sapidissima	903581644	1,565,278	38440066	Chromosome
fAmeMel.GCA_012411365.1	AMELA_1.0	Actinopteri	Siluriformes	Ictaluridae	Ameiurus melas	868496679	7,408,031	32284220	Chromosome
fAmpCit.GCA_013435755.1	ASM1343575v1	Actinopteri	Cichliformes	Cichlidae	Amphilophus citrinellus	961230971	3,839,513	37146573	Chromosome
fAmpPec.GCA_003047355.2	Nemo_v1.1	Actinopteri	Ovalentaria	Pomacentridae	Amphiprion percula	908955932	3,123,421	38416550	Chromosome
fAnaTes.GCA_900324465.3	fAnaTes1.3	Actinopteri	Anabantiformes	Anabantidae	Anabas testudineus	555658509	7,055,436	25063394	Chromosome
fAnaAna.GCA_014839685.1	fAnaAna1.pri	Actinopteri	Cyprinodontiformes	Anablepidae	Anableps anableps	867632993	17,460,000	39321252	Chromosome
fAngAng.GCA_013347855.1	fAngAng1.pri	Actinopterygii	Anguilliformes	Anguillidae	Anguilla anguilla	979045926	5114673	57205429	Chromosome
fAngRos.GCA_018555375.1	ASM1855537v1	Actinopteri	Anguilliformes	Anguillidae	Anguilla rostrata	975437971	5,018,377	56608776	Chromosome
fAntMac.GCA_013358685.1	fAntMac1.pri	Actinopteri	Lophiiformes	Antennariidae	Antennarius maculatus	549949511	10,114,706	22928215	Chromosome
fArcCen.GCA_007364275.2	fArcCen1	Actinopteri	Cichliformes	Cichlidae	Archocentrus centrarchus	932930362	2,146,538	35590001	Chromosome
fAstCal.GCA_900246225.5	fAstCal1.3	Actinopteri	Cichliformes	Cichlidae	Astatotilapia calliptera	880445568	4,438,245	38669361	Chromosome
fAstMex.GCA_000372685.2	Astyanax_mexicanus-2.0	Actinopteri	Characiformes	Characidae	Astyanax mexicanus	1335239194	1,767,240	35377769	Chromosome
fBeaKwe.GCA_019155185.1	ASM1915518v1	Actinopteri	Cypriniformes	Gastromyzontidae	Beaufortia kweichowensis	448565924	5,533,578	17950327	Chromosome
fBetSpl.GCA_900634795.3	fBetSpl5.3	Actinopteri	Anabantiformes	Osphronemidae	Betta splendens	441388503	2,497,747	20129463	Chromosome
sCarCar.GCA_017639515.1	sCarCar2.pri	Elasmobranchii	Lamniformes	Lamnidae	Carcharodon carcharias	4286311191	6,544,962	169918123	Chromosome
fChaArg.GCA_018997905.1	ASM1899790v1	Actinopteri	Anabantiformes	Channidae	Channa argus	623704440	13,290,021	28029688	Chromosome
fChaCha.GCA_902362185.1	fChaCha1.1	Actinopteri	Gonorynchiformes	Chanidae	Chanos chanos	656929047	23,134,051	50300218	Chromosome
fCheUnd.GCA_018320785.1	ASM1832078v1	Actinopteri	Labriformes	Labridae	Cheilinus undulatus	1173472134	16,477,222	51466935	Chromosome
fCheRos.GCA_017976325.1	fCheRos1.pri	Actinopteri	Chaetodontiformes	Chaetodontidae	Chelmon rostratus	644208431	16,959,746	27778429	Chromosome
fCluHar.GCA_900700415.2	Ch_v2.0.2	Actinopterygii	Clupeiformes	Clupeidae	Clupea harengus	786308905	1006413	29845739	Chromosome
fColLuc.GCA_004119915.2	ASM411991v2	Actinopteri	Eupercaria	Sciaenidae	Collichthys lucidus	877615421	1,098,566	35919243	Chromosome
fCorClp.GCA_018398675.1	ASM1839867v1	Actinopteri	Salmoniformes	Salmonidae	Coregonus clupeaformis	2682612311	5,728,271	57494107	Chromosome
fCotGob.GCA_900634415.1	fCotGob3.1	Actinopteri	Perciformes	Bovichtidae	Cottoperca gobio	609391784	6,330,900	25156145	Chromosome
fCroAlt.GCA_013133815.1	SYSU_Calt_1.1	Actinopteri	Perciformes	Serranidae	Cromileptes altivelis	1013370389	18,269,829	43466551	Chromosome
fCycLum.GCA_009769545.1	fCycLum1.pri	Actinopterygii	Scorpaeniformes	Cyclopteridae	Cyclopterus lumpus	572885595	4950682	23863342	Chromosome
fCypCar.GCA_018340385.1	ASM1834038v1	Actinopterygii	Cypriniformes	Cyprinidae	Cyprinus carpio ASM1834038v1	1680184848	1558716	29545497	Chromosome
fCypCar.GCA_905221575.1	Cypcar_WagV4.0	Actinopterygii	Cypriniformes	Cyprinidae	Cyprinus carpio Cypcar_WagV4.0	1460348793	9,240,127	28,473,900	Chromosome
fDanAes.GCA_903798145.1	fDanAes4.1	Actinopteri	Cypriniformes	Danionidae	Danio aesculapii	1381485597	1,517,104	55996547	Chromosome
fDanKya.GCA_903798195.1	fDanKya3.1	Actinopteri	Cypriniformes	Danionidae	Danio kyathit	1708446541	1,264,270	64228523	Chromosome
fDreTuH1.2.GCA_903684855.2	fDreTuH1.2	Actinopteri	Cypriniformes	Danionidae	Danio rerio TuH	1,354,075,779	4,531,818	52,957,805	Chromosome
GRCz11.GCA_000002035.4	GRCz11	Actinopteri	Cypriniformes	Danionidae	Danio rerio GRCz11	1,373,454,788	1,422,317	7,379,053	Chromosome
fDreABH1.1.GCA_903684865.1	fDreABH1.1	Actinopteri	Cypriniformes	Danionidae	Danio rerio ABH	1,360,506,095	3,603,372	54,392,677	Chromosome
fDenClu.GCA_900700375.2	fDenClu1.2	Actinopteri	Clupeiformes	Denticipitidae	Denticeps clupeoides	567417970	3,059,612	22793177	Chromosome
dlabrax2021.GCA_905237075.1	dlabrax2021	Actinopteri	Eupercaria	Moronidae	Dicentrarchus_labrax	695,892,153	12,677,075	29,885,359	Chromosome
fEchNau.GCA_900963305.2	fEcheNa1.2	Actinopteri	Carangiformes	Echeneidae	Echeneis naucrates	544229243	12,371,513	23287306	Chromosome
