Assembly_version	Assembly_name	Class	Clade	Order	Family	Species	Size	Contigs_n50	Scaffold_n50	assembly_level
aBufBuf.GCA_905171765.1	aBufBuf1.1	Amphibia	Amphibians	Anura	Bufonidae	Bufo bufo	5044744194	3959750	635713434	Chromosome
aBufGar.GCA_014858855.1	ASM1485885v1	Amphibia	Amphibians	Anura	Bufonidae	Bufo gargarizans	4545465442	1738317	539822115	Chromosome
aGeoSer.GCA_902459505.2	aGeoSer1.2	Amphibia	Amphibians	Gymnophiona	Dermophiidae	Geotrypetes seraphini	3779430017	20656571	272612222	Chromosome
aLepLei.GCA_009667805.1	ASM966780v1	Amphibia	Amphibians	Anura	Megophryidae	Leptobrachium leishanense	3549060464	1946319	394693044	Chromosome
aMicUni.GCA_901765095.2	aMicUni1.2	Amphibia	Amphibians	Gymnophiona	Siphonopidae	Microcaecilia unicolor	4685939421	3661507	376147139	Chromosome
aRanTem.GCA_905171775.1	aRanTem1.1	Amphibia	Amphibians	Anura	Ranidae	Rana temporaria	4111422596	6264810	481763206	Chromosome
aRhiBiv.GCA_901001135.2	aRhiBiv1.2	Amphibia	Amphibians	Gymnophiona	Rhinatrematidae	Rhinatrema bivittatum	5319239186	3216284	486875112	Chromosome
aXenLae.GCA_017654675.1	Xenopus_laevis_v10.1	Amphibia	Amphibians	Anura	Pipidae	Xenopus laevis	2742469346	22451507	155250555	Chromosome
aXenTro.GCA_000004195.4	UCB_Xtro_10.0	Amphibia	Amphibians	Anura	Pipidae	Xenopus tropicalis	1451301209	14634335	153961319	Chromosome
bAcaChl.GCA_016904835.1	bAcaChl1.pri	Aves	Birds	Passeriformes	Acanthisittidae	Acanthisitta chloris	1077387582	16681756	40827287	Chromosome
bAlcTor.GCA_008658365.1	bAlcTor1 primary	Aves	Birds	Charadriiformes	Alcidae	Alca torda	1178492568	18221265	84526827	Chromosome
bAnaPla.GCA_008746955.1	CAU__Wild1.0	Aves	Birds	Anseriformes	Anatidae	Anas platyrhynchos	1211992756	11467013	77626585	Chromosome
bApuApu2.GCA_020740795.1 	bApuApu2.pri.cur	Aves	Birds	Apodiformes	Apodidae	Apus apus	1100361224	25561769	115508478	Chromosome
bAquChr.GCA_900496995.4	bAquChr1.4	Aves	Birds	Accipitriformes	Accipitridae	Aquila chrysaetos	1233704830	21924221	46934974	Chromosome
bAytFul.GCA_009819795.1	bAytFul2.pri	Aves	Birds	Anseriformes	Anatidae	Aythya fuligula	1127004725	17816505	85905639	Chromosome
bBalReg.GCA_011004875.1	bBalReg1.pri	Aves	Birds	Gruiformes	Gruidae	Balearica regulorum	1221051782	23326060	82577926	Chromosome
bBucAby.GCA_009769605.1	bBucAby1.pri	Aves	Birds	Bucerotiformes	Bucorvidae	Bucorvus abyssinicus	1132597561	12039478	40274051	Chromosome
bCalAnn.GCA_003957555.2	bCalAnn1_v1.p	Aves	Birds	Apodiformes	Trochilidae	Calypte anna	1059687259	14522327	74081004	Chromosome
bCamPar.GCA_902806625.1	Camarhynchus_parvulus_V1.1	Aves	Birds	Passeriformes	Thraupidae	Camarhynchus parvulus	1064016364	15143611	71061686	Chromosome
bCapEur.GCA_907165065.1	bCapEur3.1	Aves	Birds	Caprimulgiformes	Caprimulgidae	Caprimulgus europaeus	1177791212	30622946	82614289	Chromosome
bCarCri.GCA_009819825.1	bCarCri1.pri	Aves	Birds	Cariamiformes	Cariamidae	Cariama cristata	1215245693	13514148	30176635	Chromosome
bCatUst.GCA_009819885.2	bCatUst1.pri.v2	Aves	Birds	Passeriformes	Turdidae	Catharus ustulatus	1131635256	4908935	68462074	Chromosome
bChiLan.GCA_009829145.1	bChiLan1.pri	Aves	Birds	Passeriformes	Pipridae	Chiroxiphia lanceolata	1089631598	18496167	75608808	Chromosome
bCicMag.GCA_017639555.1	bCicMag1.pri	Aves	Birds	Ciconiiformes	Ciconiidae	Ciconia maguari	1239437416	23757428	85554746	Chromosome
bCorCon.GCA_000738735.5	ASM73873v5	Aves	Birds	Passeriformes	Corvidae	Corvus cornix	1030881721	8553235	73732264	Chromosome
bCorHaw1.GCA_020740725.1	bCorHaw1.pri.cur	Aves	Birds	Passeriformes	Corvidae	Corvus hawaiiensis	1151594481	23064755	76278832	Chromosome
bColMon.GCA_013407035.1	ASM1340703v1	Aves	Birds	Passeriformes	Corvidae	Coloeus monedula	1035863955	23262489	73777161	Chromosome
bCorMon.GCA_009650955.1	bCorMon1.pri	Aves	Birds	Passeriformes	Corvidae	Corvus moneduloides	1112734094	11524098	74699841	Chromosome
bCucCan.GCA_017976375.1	bCucCan1.pri	Aves	Birds	Cuculiformes	Cuculidae	Cuculus canorus	1180156273	20797936	78325852	Chromosome
bCygOlo.GCA_009769625.2	bCygOlo1.pri.v2	Aves	Birds	Anseriformes	Anatidae	Cygnus olor	1134186642	8308965	81481363	Chromosome
bDigBru.GCA_019023105.1	LSU_DiBr_2.0	Aves	Birds	Passeriformes	Thraupidae	Diglossa brunneiventris	1079473785	7273401	67281049	Chromosome
bDroNov.GCA_016128335.1	ZJU1.0	Aves	Birds	Casuariiformes	Dromaiidae	Dromaius novaehollandiae	1247468792	14094718	82723677	Chromosome
bEriRub.GCA_903797595.2	bEriRub2.2	Aves	Birds	Passeriformes	Muscicapidae	Erithacus rubecula	1086738418	5585877	60684490	Chromosome
bFalNau.GCA_017639655.1	bFalNau1.pat	Aves	Birds	Falconiformes	Falconidae	Falco naumanni	1215719661	13754753	91761059	Chromosome
bFalRus.GCA_015220075.1	bFalRus1.pri	Aves	Birds	Falconiformes	Falconidae	Falco rusticolus	1195847496	15323486	91094845	Chromosome
bGalGal.GCA_016699485.1	bGalGal1.mat.broiler.GRCg7b	Aves	Birds	Galliformes	Phasianidae	Gallus gallus	1053332251	18834961	90861225	Chromosome
bGeoTri.GCA_009764595.1	bGeoTri1.pri	Aves	Birds	Passeriformes	Parulidae	Geothlypis trichas	1078128490	3247339	72541719	Chromosome
bGymCal.GCA_018139145.1	ASM1813914v1	Aves	Birds	Accipitriformes	Cathartidae	Gymnogyps californianus	1240179868	17075248	85346818	Chromosome
bHemCom1.GCA_020745705.1	bHemCom1.pri.cur	Aves	Birds	Apodiformes	Hemiprocnidae	Hemiprocne comata	1164813063	20531774	91346199	Chromosome
bHirRus.GCA_015227805.2	bHirRus1.pri.v2	Aves	Birds	Passeriformes	Hirundinidae	Hirundo rustica	1105955550	2794774	76187387	Chromosome
bMelGal.GCA_905368555.1	MGAL_WU_HG_1.0	Aves	Birds	Galliformes	Phasianidae	Meleagris gallopavo	1001818376	26554504	70339173	Chromosome
bMelUnd.GCA_012275295.1	bMelUnd1.mat.Z	Aves	Birds	Psittaciformes	Psittaculidae	Melopsittacus undulatus	1171617451	16636420	104092594	Chromosome
bMerNub.GCA_009819595.1	bMerNub1.pri	Aves	Birds	Coraciiformes	Meropidae	Merops nubicus	1149356202	12372304	49132790	Chromosome
bMolAte.GCA_012460135.1	BPBGC_Mater_1.0	Aves	Birds	Passeriformes	Emberizidae	Molothrus ater	1087312585	13273966	52124711	Chromosome
bMotAlb.GCA_015832195.1	Motacilla_alba_V1.0_pri	Aves	Birds	Passeriformes	Motacillidae	Motacilla alba	1072670728	8515530	72386170	Chromosome
bMyiMon.GCA_017639245.1	MMon_1.0	Aves	Birds	Psittaciformes	Psittacidae	Myiopsitta monachus	1168583304	22647286	75716676	Chromosome
bNycGra.GCA_013368605.1	bNycGra1.pri	Aves	Birds	Caprimulgiformes	Nyctibiidae	Nyctibius grandis	1256414880	23231768	92359233	Chromosome
bPhoRub.GCA_009819775.1	bPhoRub2.pri	Aves	Birds	Phoenicopteriformes	Phoenicopteridae	Phoenicopterus ruber	1246226932	14700712	85472901	Chromosome
bDryPub.GCA_014839835.1	bDryPub1.pri	Aves	Birds	Piciformes	Picidae	Dryobates pubescens	1187956536	19150283	38715865	Chromosome
bPluApr.GCA_017639485.1	bPluApr1.pri	Aves	Birds	Charadriiformes	Charadriidae	Pluvialis apricaria	1247767512	15203797	87527607	Chromosome
bPogPus.GCA_015220805.1	bPogPus1.pri	Aves	Birds	Piciformes	Lybiidae	Pogoniulus pusillus	1272358903	16792259	33994490	Chromosome
bPorHoc1.GCA_020800305.1 	bPorHoc1.mat.Z.cur	Aves	Birds	Gruiformes	Rallidae	Porphyrio hochstetteri 	1270294353	13461271	71566193	Chromosome
bPteGut.GCA_009769525.1	bPteGut1.pri	Aves	Birds	Ciconiiformes	Pteroclidae	Pterocles gutturalis	1127422757	12131577	43262132	Chromosome
bSteHir.GCA_009819605.1	bSteHir1.pri	Aves	Birds	Charadriiformes	Laridae	Sterna hirundo	1229972541	22002498	85487239	Chromosome
bStrHab.GCA_004027225.2	bStrHab1.2.pri	Aves	Birds	Psittaciformes	Psittacidae	Strigops habroptila	1148597545	9454087	83240647	Chromosome
bStrTur.GCA_901699155.2	bStrTur1.2	Aves	Birds	Columbiformes	Columbidae	Streptopelia turtur	1178816852	3790373	81365208	Chromosome
bSylAtr.GCA_009819655.1	bSylAtr1.pri	Aves	Birds	Passeriformes	Sylviidae	Sylvia atricapilla	1066786587	7345957	72978054	Chromosome
bSylBor.GCA_014839755.1	bSylBor1.pri	Aves	Birds	Passeriformes	Sylviidae	Sylvia borin	1045652180	31914676	72750092	Chromosome
bTaeGut.GCA_003957565.4	bTaeGut1.4.pri	Aves	Birds	Passeriformes	Estrildidae	Taeniopygia guttata	1056271262	8964551	70982421	Chromosome
bTauEry.GCA_009769465.1	bTauEry1.pri	Aves	Birds	Musophagiformes	Musophagidae	Tauraco erythrolophus	1252271553	11927027	85562082	Chromosome
bTheCae1.GCA_020745775.1	bTheCae1.pri.cur	Aves	Birds	Pelecaniformes	Threskiornithidae	Theristicus caerulescens 	1203372763	37098842	101368359	Chromosome
bTroSur1.GCA_020746105.1	bTroSur1.pri.cur	Aves	Birds	Trogoniformes	Trogonidae	Trogon surrucura	1165749515	16237294	82617956	Chromosome
fAcaLat.GCA_904848185.1	fAcaLat1.1	Actinopteri	Fish	Spariformes	Sparidae	Acanthopagrus latus	685144197	14,880,455	30717905	Chromosome
fAloAlo.GCA_017589495.1	AALO_Geno_1.0	Actinopterygii	Fish	Clupeiformes	Clupeidae	Alosa alosa	854597291	1188980	35353468	Chromosome
fAloSap.GCA_018492685.1	fAloSap1.pri	Actinopteri	Fish	Clupeiformes	Clupeidae	Alosa sapidissima	903581644	1,565,278	38440066	Chromosome
fAmeMel.GCA_012411365.1	AMELA_1.0	Actinopteri	Fish	Siluriformes	Ictaluridae	Ameiurus melas	868496679	7,408,031	32284220	Chromosome
fAmpCit.GCA_013435755.1	ASM1343575v1	Actinopteri	Fish	Cichliformes	Cichlidae	Amphilophus citrinellus	961230971	3,839,513	37146573	Chromosome
fAmpPec.GCA_003047355.2	Nemo_v1.1	Actinopteri	Fish	None	Pomacentridae	Amphiprion percula	908955932	3,123,421	38416550	Chromosome
fAnaAna.GCA_014839685.1	fAnaAna1.pri	Actinopteri	Fish	Cyprinodontiformes	Anablepidae	Anableps anableps	867632993	17,460,000	39321252	Chromosome
fAnaTes.GCA_900324465.3	fAnaTes1.3	Actinopteri	Fish	Anabantiformes	Anabantidae	Anabas testudineus	555658509	7,055,436	25063394	Chromosome
